fecha;Open;High;Low;Close;Volume;Currency
14/04/2020;41.199;41.826;40.528;41.253;9758363;USD
15/04/2020;41.253;41.7;39.235;39.346;9186653;USD
16/04/2020;39.336;43.549;38.012;42.547;12582477;USD
17/04/2020;42.547;42.983;41.64;42.206;8898739;USD
18/04/2020;42.19;44.4;42.059;44.137;9748480;USD
19/04/2020;44.142;44.265;41.901;42.236;15510115;USD
20/04/2020;42.246;43.203;39.638;40.214;21795812;USD
21/04/2020;40.229;41.28;40.038;40.589;15116538;USD
22/04/2020;40.59;42.263;40.285;41.819;16843038;USD
23/04/2020;41.818;43.876;41.003;42.965;23767228;USD
24/04/2020;42.97;44.92;42.841;44.463;19235128;USD
25/04/2020;44.426;45.578;43.891;44.423;20905736;USD
26/04/2020;44.376;45.37;43.861;44.566;23946284;USD
27/04/2020;44.565;45.19;43.24;44.46;21974480;USD
28/04/2020;44.46;46.02;43.434;45.734;13728113;USD
29/04/2020;45.732;49.844;45.71;48.802;18109624;USD
30/04/2020;48.805;50.8;45.859;46.4;14831294;USD
01/05/2020;46.39;48.221;46.365;47.086;10800614;USD
02/05/2020;47.089;49.529;46.774;49.212;11056349;USD
03/05/2020;49.214;49.929;46.847;48.073;13384269;USD
04/05/2020;48.049;48.159;45.236;46.971;13175193;USD
05/05/2020;46.971;47.736;45.826;46.549;8205662;USD
06/05/2020;46.549;47.526;44.822;44.963;10171590;USD
07/05/2020;44.96;48.16;44.551;47.353;13601968;USD
08/05/2020;47.364;48.398;46.39;47.725;10764598;USD
09/05/2020;47.711;49.088;46.951;47.02;10077795;USD
10/05/2020;47.019;47.019;39.993;42.115;18597410;USD
11/05/2020;42.101;42.849;39.575;41.613;15359607;USD
12/05/2020;41.542;42.793;41.334;42.184;12787860;USD
13/05/2020;42.184;43.735;41.959;43.178;10537361;USD
14/05/2020;43.179;44.356;42.344;43.982;12722283;USD
15/05/2020;43.981;44.15;42.183;42.732;11698294;USD
16/05/2020;42.737;43.863;42.512;43.264;12694033;USD
17/05/2020;43.26;44.465;43.103;43.672;13475344;USD
18/05/2020;43.67;46.503;43.655;45.313;16787696;USD
19/05/2020;45.313;45.764;44.183;45.726;11875921;USD
20/05/2020;45.714;46.131;43.362;44.22;11740757;USD
21/05/2020;44.229;44.596;41.733;42.93;12040829;USD
22/05/2020;42.931;44.643;42.391;44.21;10408636;USD
23/05/2020;44.203;44.735;43.705;43.875;8003628;USD
24/05/2020;43.874;44.533;42.152;42.152;9733111;USD
25/05/2020;42.147;43.263;41.831;42.981;5976547;USD
26/05/2020;42.981;43.058;41.842;42.263;8261029;USD
27/05/2020;42.274;43.991;42.231;43.847;9376412;USD
28/05/2020;43.847;44.868;43.177;44.723;10005351;USD
29/05/2020;44.723;45.267;44.233;44.503;10431017;USD
30/05/2020;44.502;48.011;44.208;47.746;13382172;USD
31/05/2020;47.73;47.79;45.182;45.611;12401739;USD
01/06/2020;45.611;48.579;45.375;48.201;10395692;USD
02/06/2020;48.206;49.93;44.754;46.018;16377508;USD
03/06/2020;46.016;47.493;45.331;47.149;12425810;USD
04/06/2020;47.15;48.077;46.424;47.44;12175743;USD
05/06/2020;47.437;47.952;46.619;46.833;11370511;USD
06/06/2020;46.832;47.214;46.254;46.794;9611754;USD
07/06/2020;46.795;46.981;45.191;46.638;10714709;USD
08/06/2020;46.638;46.761;45.968;46.404;10019301;USD
